"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","0.47","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C3","1","100nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C4","1","4.7","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"D1","1","LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"J1","1","Conn_01x04_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
"R1","1","1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R2,R4,R5,R6,R7,R8","6","R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R3","1","330k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"U1","1","VL53L4CDV0DH/1","","","","VL53L4CDV0DH-1:LGA12_STM","https://www.st.com/resource/en/datasheet/vl53l4cd.pdf"
"U2","1","ADP3331ARTZ-REEL7","","","","ADP3331ARTZ_REEL7:SOT95P280X145-6N",""
